Name,Year_of_Release,Genre,Publisher,Critic_Score,ESRB_Rating,Global_Sale
James Bond 007: Agent Under Fire,2001,Shooter,Electronic Arts,72,T,3530000
LEGO Star Wars: The Video Game,2005,Action,Eidos Interactive,,,3530000
Rugrats in Paris: The Movie,2000,Action,THQ,,,3520000
FIFA Soccer 11,2010,Sports,Electronic Arts,88,E,3520000
Spyro 2: Riptos Rage!,1999,Platform,Sony Computer Entertainment,,,3520000
Left 4 Dead,2008,Shooter,Electronic Arts,89,M,3510000
Donkey Kong Country 3: Dixie Kongs Double Trouble!,1996,Platform,Nintendo,,,3510000
Resident Evil 5,2009,Action,Capcom,83,M,3500000
Kung Fu,1985,Action,Nintendo,,,3500000
Assassins Creed: Brotherhood,2010,Action,Ubisoft,89,M,3500000
Battlefield 4,2013,Shooter,Electronic Arts,80,M,3500000
FIFA Soccer 2004,2003,Sports,Electronic Arts,84,E,3490000
Battlefield 4,2013,Shooter,Electronic Arts,79,M,3490000
Batman: Arkham Asylum,2009,Action,Eidos Interactive,92,T,3490000
Battlefield: Bad Company 2,2010,Shooter,Electronic Arts,88,M,3480000
Gears of War: Ultimate Edition,2015,Shooter,Microsoft Game Studios,82,M,3470000
Mario & Sonic at the Olympic Winter Games,2009,Sports,Sega,,,3460000
Guitar Hero: On Tour,2008,Misc,Activision,71,E10+,3460000
Clubhouse Games,2006,Misc,Nintendo,83,E,3450000
Borderlands,2009,Shooter,Take-Two Interactive,84,M,3440000
Monster Hunter 4,2013,Role-Playing,Capcom,,,3440000
Assassins Creed Syndicate,2015,Action,Ubisoft,76,M,3440000
Tekken 4,2002,Fighting,Namco Bandai Games,79,T,3440000
Battlefield 1,2016,Shooter,Electronic Arts,87,M,3440000
Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment,93,M,3430000
Final Fantasy III,1994,Role-Playing,SquareSoft,,,3420000
Grand Theft Auto 2,1998,Action,Take-Two Interactive,70,T,3420000
Spider-Man 2,2004,Action,Activision,80,T,3410000
F-1 Race,1990,Racing,Nintendo,,,3410000
LittleBigPlanet 2,2011,Platform,Sony Computer Entertainment,91,E,3400000
